Target	Distance
4609	3
2052	3
5243	3
836	3
841	3
207	3
3091	3
5594	3
5595	3
5599	3
6513	4
7422	3
2811	3
3674	4
3690	3
7066	4
6648	4
25828	3
57817	4
842	4
1026	3
1111	3
7157	3
563	4
3797	3
3848	3
7018	4
160428	4
596	3
598	4
4193	3
1565	4
1559	4
1576	4
8856	3
7364	5
581	3
637	3
54205	4
56616	3
8772	3
355	3
356	3
142	3
331	3
3162	4
4316	3
4318	4
22949	4
840	3
1192	3
8192	3
1437	4
2323	4
3562	4
4254	3
7462	4
5728	3
9349	3
6169	3
6194	3
10291	3
23581	4
1649	3
10912	3
5604	3
9141	4
7153	3
1636	3
196	3
203	4
10142	3
1645	4
1646	4
8644	4
1109	4
226	3
230	3
290	4
360	4
443	4
22926	3
665	4
768	3
847	3
9308	4
942	4
1080	2
3576	3
1543	3
54583	3
112398	3
1958	3
2023	3
2026	3
2068	3
2597	3
2878	4
3014	3
1839	4
64344	3
29923	4
3098	3
3099	3
3383	3
3554	3
3918	4
3939	3
51360	4
4282	3
4317	5
4879	4
51667	3
100506658	3
8974	3
5163	3
5165	4
5230	3
8985	3
5519	3
5723	4
6401	3
5054	4
6647	3
6720	3
6774	3
7037	3
10440	4
1432	3
3732	4
1558	4
1956	3
4830	3
5742	4
6752	4
1544	4
1548	4
1555	4
1562	4
1557	4
1571	4
1577	3
2554	4
2560	4
4009	4
1545	4
1580	4
2346	3
2925	3
5468	3
5925	3
6671	4
301	3
84674	4
23017	3
2914	4
3932	3
5081	3
79156	4
9021	3
7078	3
8743	4
8626	3
9687	3
9970	4
259	3
347	4
733	4
3933	4
29991	3
5004	4
5730	4
348	3
3949	3
5743	3
7124	3
796	4
2982	3
2983	4
3248	4
183	3
834	4
843	3
835	4
839	3
7150	3
9451	3
1965	3
2053	4
2081	3
3630	4
3643	3
7494	4
11255	4
5601	3
57491	4
846	3
4846	3
6622	3
1814	3
3569	4
367	3
1815	4
147	3
146	4
5168	4
5530	4
1591	3
7421	3
1950	4
5747	2
135	3
2	3
231	4
229	4
23600	4
345	4
467	3
84938	4
602	3
761	4
1048	4
1356	3
1382	4
1528	3
1622	3
1889	3
2064	3
2168	3
2194	3
2243	3
2254	4
2266	4
2330	4
2539	3
2645	3
2938	4
2944	4
3156	3
3398	3
8870	4
3479	4
3481	4
3484	3
3956	3
3958	3
4137	3
4170	3
4493	4
10403	3
4792	3
4804	3
1728	4
5053	4
5111	2
5292	4
5893	3
5965	3
389	4
6319	3
12	4
6696	3
7052	3
7076	4
7305	4
10537	3
7319	3
7381	4
10493	4
81671	3
54658	4
54575	4
54577	5
54600	4
7366	6
55503	3
929	3
1051	3
6352	2
993	3
1277	3
55294	3
3066	3
3265	3
5469	3
4084	3
4878	3
5741	4
5744	4
6256	3
