Target	Distance
4609	4
2052	4
5243	3
836	4
841	4
207	3
3091	4
5594	4
5595	4
5599	4
6513	4
7422	4
2811	5
3674	5
3690	4
7066	4
6648	4
25828	4
57817	5
842	3
1026	4
1111	4
7157	3
563	4
3797	4
3848	4
7018	4
160428	5
596	4
598	4
4193	3
1565	5
1559	5
1576	4
8856	4
7364	5
581	4
637	4
54205	4
56616	4
8772	4
355	4
356	4
142	4
331	4
3162	4
4316	4
4318	4
22949	5
840	4
1192	4
8192	4
1437	5
2323	6
3562	5
4254	5
7462	5
5728	3
9349	4
6169	4
6194	4
10291	4
23581	5
1649	4
10912	4
5604	4
9141	4
7153	4
1636	5
196	4
203	4
10142	4
1645	5
1646	5
8644	5
1109	4
226	4
230	4
290	5
360	4
443	5
22926	4
665	4
768	4
847	4
9308	4
942	5
1080	3
3576	4
1543	4
54583	4
112398	4
1958	4
2023	4
2026	4
2068	4
2597	4
2878	5
3014	4
1839	3
64344	4
29923	5
3098	4
3099	4
3383	4
3554	4
3918	4
3939	4
51360	5
4282	4
4317	5
4879	4
51667	4
100506658	3
8974	4
5163	4
5165	4
5230	4
8985	4
5519	4
5723	5
6401	5
5054	5
6647	4
6720	4
6774	4
7037	4
10440	5
1432	4
3732	4
1558	5
1956	3
4830	4
5742	4
6752	5
1544	5
1548	5
1555	5
1562	5
1557	5
1571	4
1577	5
2554	4
2560	4
4009	5
1545	4
1580	5
2346	5
2925	4
5468	3
5925	4
6671	5
301	4
84674	5
23017	5
2914	4
3932	4
5081	3
79156	5
9021	4
7078	4
8743	5
8626	4
9687	5
9970	4
259	5
347	4
733	4
3933	4
29991	4
5004	4
5730	4
348	5
3949	4
5743	4
7124	4
796	5
2982	4
2983	4
3248	5
183	4
834	4
843	4
835	4
839	4
7150	4
9451	3
1965	4
2053	5
2081	4
3630	4
3643	4
7494	4
11255	5
5601	4
57491	4
846	4
4846	4
6622	3
1814	5
3569	4
367	4
1815	4
147	5
146	4
5168	5
5530	4
1591	5
7421	4
1950	4
5747	4
135	5
2	4
231	4
229	5
23600	5
345	5
467	4
84938	5
602	4
761	4
1048	5
1356	4
1382	4
1528	5
1622	4
1889	4
2064	4
2168	4
2194	4
2243	4
2254	4
2266	4
2330	4
2539	4
2645	5
2938	4
2944	4
3156	4
3398	4
8870	4
3479	4
3481	5
3484	4
3956	4
3958	4
4137	4
4170	4
4493	5
10403	4
4792	4
4804	4
1728	4
5053	5
5111	4
5292	4
5893	4
5965	4
389	4
6319	4
12	4
6696	4
7052	4
7076	4
7305	4
10537	4
7319	4
7381	4
10493	4
81671	4
54658	5
54575	5
54577	6
54600	5
7366	6
55503	3
929	5
1051	4
6352	5
993	4
1277	4
55294	4
3066	3
3265	4
5469	4
4084	4
4878	4
5741	5
5744	4
6256	4
25942	3
7295	4
10628	4
10499	4
3350	4
1869	4
2099	4
23764	4
4502	4
891	4
595	4
983	4
1017	4
1019	4
1021	4
7296	4
1385	4
1387	3
3320	3
3326	4
3565	5
4780	4
6198	3
8536	4
815	4
820	4
100506742	4
999	4
1138	4
1139	4
1293	5
1991	5
2353	4
7184	4
3309	3
3458	5
3552	5
3553	4
3689	4
3725	3
4322	5
10397	4
2908	4
5028	4
5319	5
5579	4
2185	3
5906	4
5970	4
6275	4
6328	5
6343	5
6772	4
7412	4
1136	4
1143	6
699	4
55749	4
898	4
991	4
998	4
1365	5
780	4
1870	4
5603	4
4319	4
4313	4
4793	4
4908	4
5879	3
54101	4
3604	4
10318	4
79155	4
9948	4
4255	4
2729	5
9817	4
5578	4
5580	4
5587	4
57016	4
25842	4
2730	4
84803	4
3976	5
23657	5
8878	4
140809	4
23081	4
4353	5
11080	4
3310	4
3606	5
2950	4
354	4
3936	4
4477	5
1087	5
4283	4
1843	5
1910	4
2745	4
6117	4
6128	4
894	4
896	4
4535	4
468	4
572	4
8678	3
6347	5
1508	4
2919	4
2335	4
11009	4
3667	3
3717	4
57591	4
4312	5
4790	4
387	4
7040	4
5444	5
2936	4
3713	4
2952	4
6530	4
2876	4
2879	4
6916	4
128	4
5447	4
2569	5
19	4
9619	3
335	4
3952	5
2561	5
2566	4
3061	4
10327	5
8574	4
873	4
51635	3
9588	4
5770	4
8989	5
7345	4
3931	4
6667	4
22059	4
63874	5
2180	4
51129	4
901	4
57647	4
23710	3
3909	5
4739	4
29948	4
6520	4
11309	5
6653	4
25976	5
94241	4
5729	4
11251	5
1137	5
472	4
11200	4
2071	4
2073	3
2177	4
5888	4
8797	4
8795	4
3146	4
23643	5
7099	4
4314	5
4843	4
7913	4
1718	4
2100	4
3172	4
3487	5
27074	4
4899	4
7015	4
6783	4
43	5
9915	3
1583	4
2488	6
8648	4
10891	3
3251	4
7515	4
9568	4
3356	5
5617	5
1586	4
1066	5
330	4
1147	4
3551	4
9020	4
7185	3
3294	5
9061	4
6817	4
27284	5
6819	5
6822	5
9429	5
150209	4
84364	4
55252	4
718	4
24146	5
26528	4
1877	4
121506	5
80233	5
474344	4
84264	5
8346	4
50618	4
182	4
29967	3
80022	4
348938	5
8204	4
5241	4
5253	5
10723	4
201305	5
6799	5
6818	5
56063	5
54657	6
54578	5
63925	4
130399	4
238	4
2065	3
3815	4
5159	3
1588	4
3135	4
3284	5
7270	4
7276	4
8647	5
729230	5
1457	4
3558	4
4233	4
3084	4
5567	4
6906	4
6598	4
7324	3
3292	4
3283	6
10599	5
213	4
336	4
9370	5
857	3
858	4
8788	4
2167	4
3295	4
3791	4
4023	4
4868	4
5295	4
5625	4
5915	4
6387	5
7852	4
3290	4
3291	4
3293	4
11098	4
7031	4
8839	4
27113	4
5366	4
7161	3
970	4
2246	4
9131	4
952	5
1000	4
1499	3
1551	6
83939	4
3684	5
4288	4
8431	4
5175	4
63970	5
7465	3
327	4
590	4
10908	4
1027	4
5465	4
4762	4
8840	5
124	5
9973	5
1585	10000
7252	4
405	4
2033	3
8202	4
7068	4
5138	5
54905	5
6524	6
1434	4
9971	4
6324	5
6327	4
545	4
890	4
240	4
8086	4
23	4
83451	5
39	4
57007	5
122970	6
97	5
120	4
27125	4
155465	4
11214	5
79053	4
9949	5
54443	4
196527	4
81611	4
304	4
8416	3
8907	4
9582	5
57221	4
26084	5
403	4
170302	5
259266	4
29028	4
22809	4
91419	4
27032	4
8992	4
546	4
6790	4
84002	5
25825	4
580	4
84707	4
332	4
29760	4
655	4
221927	4
675	3
54014	4
682	4
701	4
55732	4
375444	5
55071	4
23705	4
813	4
55450	5
831	5
868	3
91057	5
9133	4
899	4
1604	4
966	4
995	3
8317	5
83461	4
113130	4
55143	4
10263	4
1030	4
1033	5
81620	4
1952	4
1063	4
2491	5
55839	5
55166	4
79682	4
55165	4
9702	4
64793	4
10036	4
1106	5
10370	4
51192	5
1164	4
9076	5
6249	4
1191	4
1407	4
10675	4
51496	5
9646	4
55917	4
51706	4
10926	5
90379	4
8816	4
9937	4
23564	4
7919	4
1719	4
10202	4
81624	4
1736	4
1746	5
10294	4
23234	4
1777	4
1786	4
79075	4
79980	4
51143	4
1875	5
79733	5
1894	4
8726	4
2202	4
1942	5
2002	4
79071	5
54859	5
146956	4
23052	4
57669	4
58513	4
112479	5
54206	4
9156	5
2131	3
2146	4
2150	5
90362	4
317662	5
56204	5
131583	5
55215	4
81545	4
9214	5
2237	4
9158	4
2288	4
23048	4
2309	4
122786	4
79443	4
9908	4
1647	4
2588	4
55568	5
23193	4
2624	4
2644	4
79153	5
2674	4
8836	4
51659	5
64785	4
2733	5
8833	4
2801	4
8733	4
9052	5
29899	5
57655	4
57822	5
51512	4
94239	4
3015	4
3021	4
115106	4
50865	4
85441	3
3280	4
3006	4
3012	4
3017	4
8345	4
8357	4
8349	4
55355	4
9324	5
3187	4
22824	4
3382	4
23463	5
3423	4
51278	5
3433	4
55764	4
112752	4
10994	4
3625	5
3638	4
124152	5
3664	5
8660	3
3673	4
23421	4
23030	4
10765	4
9764	5
57482	4
3832	4
81930	4
11004	4
3833	4
1316	4
116138	4
51088	4
90417	4
3840	4
3897	4
8270	4
9836	4
3953	4
3978	4
4001	4
26018	4
57819	4
378938	5
9448	4
84930	5
4150	4
4162	4
55388	4
4172	4
4174	4
4176	4
55013	4
4201	5
4205	4
