Target	Distance
4609	4
2052	4
5243	4
836	4
841	3
207	4
3091	4
5594	4
5595	4
5599	4
6513	4
7422	4
2811	5
3674	5
3690	4
7066	5
6648	4
25828	4
57817	5
842	4
1026	4
1111	4
7157	4
563	4
3797	5
3848	4
7018	4
160428	5
596	4
598	4
4193	4
1565	5
1559	4
1576	4
8856	5
7364	5
581	4
637	4
54205	4
56616	4
8772	4
355	4
356	4
142	3
331	4
3162	4
4316	4
4318	4
22949	4
840	4
1192	4
8192	5
1437	3
2323	6
3562	5
4254	5
7462	5
5728	4
9349	3
6169	3
6194	3
10291	4
23581	4
1649	4
10912	4
5604	4
9141	4
7153	3
1636	5
196	5
203	5
10142	4
1645	4
1646	5
8644	5
1109	5
226	4
230	4
290	5
360	4
443	5
22926	5
665	4
768	4
847	5
9308	4
942	4
1080	4
3576	4
1543	4
54583	5
112398	5
1958	4
2023	4
2026	4
2068	4
2597	4
2878	5
3014	3
1839	5
64344	5
29923	5
3098	4
3099	4
3383	4
3554	5
3918	5
3939	4
51360	5
4282	4
4317	6
4879	5
51667	5
100506658	4
8974	4
5163	4
5165	4
5230	4
8985	4
5519	5
5723	5
6401	4
5054	5
6647	5
6720	5
6774	4
7037	4
10440	5
1432	4
3732	5
1558	5
1956	4
4830	5
5742	4
6752	4
1544	5
1548	5
1555	5
1562	3
1557	5
1571	4
1577	5
2554	4
2560	5
4009	5
1545	5
1580	6
2346	4
2925	4
5468	4
5925	4
6671	5
301	4
84674	5
23017	5
2914	5
3932	4
5081	5
79156	5
9021	4
7078	5
8743	4
8626	4
9687	4
9970	5
259	4
347	4
733	4
3933	4
29991	5
5004	4
5730	5
348	4
3949	5
5743	4
7124	4
796	4
2982	5
2983	5
3248	5
183	5
834	4
843	4
835	4
839	4
7150	4
9451	4
1965	3
2053	5
2081	3
3630	5
3643	4
7494	4
11255	6
5601	4
57491	5
846	4
4846	4
6622	4
1814	4
3569	5
367	4
1815	5
147	5
146	4
5168	5
5530	4
1591	5
7421	4
1950	5
5747	4
135	5
2	4
231	4
229	5
23600	5
345	5
467	4
84938	5
602	5
761	5
1048	5
1356	4
1382	5
1528	5
1622	5
1889	4
2064	4
2168	5
2194	4
2243	4
2254	4
2266	4
2330	5
2539	4
2645	5
2938	5
2944	5
3156	5
3398	4
8870	5
3479	5
3481	4
3484	4
3956	4
3958	4
4137	4
4170	5
4493	5
10403	4
4792	4
4804	4
1728	4
5053	4
5111	4
5292	4
5893	4
5965	4
389	5
6319	4
12	4
6696	4
7052	4
7076	4
7305	5
10537	4
7319	4
7381	4
10493	4
81671	4
54658	5
54575	5
54577	6
54600	5
7366	6
55503	4
929	5
1051	4
6352	4
993	4
1277	4
55294	4
3066	4
3265	4
5469	4
4084	5
4878	5
5741	4
5744	4
6256	4
25942	4
7295	4
10628	4
10499	5
3350	5
1869	4
2099	4
23764	4
4502	5
891	4
595	4
983	4
1017	4
1019	4
1021	4
7296	4
1385	4
1387	4
3320	4
3326	4
3565	5
4780	4
6198	4
8536	5
815	5
820	5
100506742	5
999	4
1138	5
1139	5
1293	5
1991	4
2353	4
7184	4
3309	4
3458	5
3552	4
3553	4
3689	4
3725	4
4322	6
10397	4
2908	4
5028	4
5319	5
5579	3
2185	5
5906	4
5970	4
6275	4
6328	4
6343	5
6772	4
7412	4
1136	5
1143	7
699	4
55749	4
898	4
991	4
998	4
1365	5
780	5
1870	4
5603	5
4319	5
4313	4
4793	5
4908	5
5879	4
54101	4
3604	5
10318	4
79155	5
9948	4
4255	4
2729	4
9817	4
5578	3
5580	4
5587	4
57016	5
25842	5
2730	4
84803	4
3976	6
23657	5
8878	4
140809	5
23081	5
4353	5
11080	4
3310	4
3606	4
2950	4
354	4
3936	4
4477	5
1087	6
4283	5
1843	5
1910	5
2745	4
6117	4
6128	3
894	4
896	4
4535	4
468	4
572	4
8678	4
6347	4
1508	4
2919	5
2335	3
11009	4
3667	4
3717	4
57591	4
4312	5
4790	4
387	4
7040	4
5444	5
2936	4
3713	4
2952	5
6530	5
2876	5
2879	4
6916	5
128	4
5447	5
2569	5
19	4
9619	4
335	4
3952	5
2561	5
2566	5
3061	5
10327	5
8574	4
873	5
51635	5
9588	4
5770	4
8989	5
7345	4
3931	4
6667	4
22059	4
63874	5
2180	5
51129	4
901	5
57647	4
23710	4
3909	3
4739	5
29948	4
6520	4
11309	5
6653	4
25976	5
94241	4
5729	5
11251	5
1137	5
472	4
11200	4
2071	3
2073	4
2177	4
5888	4
8797	4
8795	4
3146	4
23643	4
7099	5
4314	5
4843	4
7913	4
1718	4
2100	4
3172	4
3487	5
27074	4
4899	4
7015	4
6783	4
43	5
9915	5
1583	5
2488	6
8648	4
10891	5
3251	4
7515	4
9568	5
3356	5
5617	5
1586	5
1066	5
330	4
1147	4
3551	4
9020	4
7185	4
3294	5
9061	4
6817	5
27284	4
6819	5
6822	5
9429	5
150209	4
84364	4
55252	5
718	4
24146	6
26528	4
1877	4
121506	4
80233	4
474344	5
84264	4
8346	4
50618	4
182	5
29967	5
80022	5
348938	5
8204	4
5241	4
5253	5
10723	5
201305	5
6799	5
6818	5
56063	5
54657	6
54578	5
63925	4
130399	5
238	4
2065	4
3815	4
5159	4
1588	4
3135	5
3284	4
7270	4
7276	4
8647	5
729230	5
1457	4
3558	6
4233	4
3084	4
5567	4
6906	4
6598	4
7324	5
3292	5
3283	5
10599	5
213	4
336	5
9370	5
857	4
858	5
8788	4
2167	4
3295	4
3791	4
4023	4
4868	5
5295	4
5625	5
5915	5
6387	4
7852	5
3290	4
3291	5
3293	4
11098	3
7031	4
8839	5
27113	5
5366	4
7161	4
970	4
2246	3
9131	4
952	5
1000	4
1499	4
1551	6
83939	4
3684	5
4288	4
8431	4
5175	5
63970	5
7465	4
327	4
590	4
10908	3
1027	4
5465	5
4762	4
8840	5
124	4
9973	5
1585	10000
7252	4
405	4
2033	4
8202	4
7068	4
5138	5
54905	5
6524	6
1434	4
9971	4
6324	5
6327	4
545	4
890	4
240	4
8086	4
23	3
83451	5
39	4
57007	5
122970	5
97	5
120	4
27125	4
155465	4
11214	4
79053	4
9949	4
54443	4
196527	4
81611	4
304	4
8416	5
8907	5
9582	4
57221	5
26084	4
403	4
170302	5
259266	4
29028	4
22809	5
91419	4
27032	4
8992	5
546	3
6790	4
84002	5
25825	4
580	4
84707	4
332	4
29760	5
655	4
221927	5
675	4
54014	4
682	4
701	4
55732	5
375444	5
55071	5
23705	4
813	4
55450	4
831	4
868	5
91057	5
9133	5
899	4
1604	4
966	5
995	4
8317	5
83461	4
113130	4
55143	4
10263	4
1030	5
1033	4
81620	4
1952	4
1063	4
2491	5
55839	4
55166	4
79682	4
55165	4
9702	4
64793	5
10036	4
1106	4
10370	4
51192	5
1164	4
9076	4
6249	4
1191	4
1407	4
10675	5
51496	4
9646	4
55917	5
51706	5
10926	4
90379	4
8816	4
9937	5
23564	4
7919	4
1719	5
10202	3
81624	5
1736	4
1746	5
10294	4
23234	3
1777	5
1786	4
79075	4
79980	4
51143	4
1875	5
79733	5
1894	4
8726	3
2202	4
1942	4
2002	4
79071	6
54859	5
146956	3
23052	5
57669	4
58513	5
112479	5
54206	4
9156	4
2131	3
2146	4
2150	4
90362	4
317662	5
56204	5
131583	4
55215	4
81545	5
9214	5
2237	4
9158	4
2288	4
23048	4
2309	4
122786	5
79443	4
9908	4
1647	4
2588	5
55568	5
23193	4
2624	4
2644	5
79153	5
2674	5
8836	5
51659	4
64785	4
2733	4
8833	4
2801	4
8733	4
9052	5
29899	4
57655	4
57822	5
51512	4
94239	4
3015	4
3021	4
115106	4
50865	5
85441	4
3280	4
3006	4
3012	4
3017	4
8345	4
8357	4
8349	4
55355	4
9324	4
3187	4
22824	4
3382	5
23463	4
3423	4
51278	5
3433	4
55764	5
112752	5
10994	4
3625	5
3638	4
124152	5
3664	5
8660	4
3673	5
23421	4
23030	4
10765	4
9764	5
57482	5
3832	4
81930	4
11004	3
3833	4
1316	4
116138	4
51088	5
90417	5
3840	4
3897	4
8270	4
9836	5
3953	5
3978	5
4001	4
26018	3
57819	4
378938	4
9448	4
84930	5
4150	5
4162	5
55388	4
4172	4
4174	4
4176	4
55013	5
4201	5
4205	4
