Target	Distance
4609	4
2052	4
5243	4
836	4
841	4
207	4
3091	4
5594	4
5595	4
5599	4
6513	5
7422	4
2811	5
3674	5
3690	5
7066	4
6648	4
25828	4
57817	5
842	4
1026	4
1111	4
7157	4
563	5
3797	5
3848	4
7018	5
160428	5
596	4
598	4
4193	4
1565	6
1559	5
1576	4
8856	4
7364	5
581	4
637	4
54205	4
56616	4
8772	4
355	4
356	4
142	4
331	4
3162	5
4316	5
4318	5
22949	4
840	4
1192	4
8192	4
1437	5
2323	6
3562	5
4254	5
7462	4
5728	4
9349	4
6169	4
6194	4
10291	4
23581	5
1649	4
10912	4
5604	4
9141	4
7153	4
1636	5
196	4
203	4
10142	4
1645	5
1646	4
8644	4
1109	5
226	4
230	4
290	5
360	5
443	5
22926	4
665	5
768	4
847	4
9308	5
942	5
1080	4
3576	5
1543	4
54583	4
112398	4
1958	4
2023	4
2026	4
2068	5
2597	3
2878	5
3014	4
1839	5
64344	5
29923	5
3098	4
3099	4
3383	4
3554	4
3918	5
3939	4
51360	5
4282	4
4317	6
4879	4
51667	4
100506658	5
8974	4
5163	5
5165	4
5230	4
8985	4
5519	4
5723	3
6401	5
5054	4
6647	4
6720	3
6774	4
7037	5
10440	5
1432	4
3732	5
1558	5
1956	4
4830	4
5742	5
6752	5
1544	5
1548	5
1555	5
1562	5
1557	6
1571	4
1577	5
2554	4
2560	4
4009	5
1545	5
1580	6
2346	5
2925	5
5468	4
5925	4
6671	4
301	4
84674	5
23017	5
2914	5
3932	4
5081	4
79156	5
9021	4
7078	5
8743	4
8626	4
9687	4
9970	4
259	5
347	5
733	5
3933	5
29991	5
5004	4
5730	3
348	5
3949	4
5743	4
7124	4
796	5
2982	4
2983	4
3248	5
183	5
834	4
843	5
835	4
839	5
7150	4
9451	5
1965	4
2053	5
2081	4
3630	5
3643	5
7494	4
11255	6
5601	4
57491	4
846	4
4846	4
6622	4
1814	5
3569	5
367	4
1815	4
147	4
146	5
5168	4
5530	4
1591	5
7421	4
1950	4
5747	4
135	5
2	4
231	5
229	4
23600	5
345	5
467	4
84938	5
602	4
761	5
1048	5
1356	5
1382	4
1528	5
1622	5
1889	5
2064	4
2168	5
2194	4
2243	4
2254	5
2266	5
2330	5
2539	4
2645	5
2938	4
2944	5
3156	4
3398	4
8870	4
3479	5
3481	4
3484	4
3956	4
3958	4
4137	4
4170	4
4493	5
10403	4
4792	4
4804	4
1728	4
5053	5
5111	4
5292	4
5893	4
5965	4
389	5
6319	4
12	5
6696	4
7052	4
7076	5
7305	5
10537	4
7319	4
7381	4
10493	5
81671	4
54658	5
54575	5
54577	6
54600	5
7366	6
55503	5
929	5
1051	4
6352	4
993	4
1277	4
55294	4
3066	4
3265	4
5469	4
4084	5
4878	4
5741	5
5744	5
6256	4
25942	4
7295	4
10628	4
10499	4
3350	5
1869	4
2099	4
23764	4
4502	5
891	4
595	4
983	4
1017	4
1019	4
1021	3
7296	5
1385	4
1387	4
3320	4
3326	4
3565	5
4780	4
6198	4
8536	4
815	4
820	5
100506742	4
999	4
1138	5
1139	3
1293	5
1991	5
2353	4
7184	4
3309	4
3458	5
3552	5
3553	4
3689	4
3725	4
4322	6
10397	4
2908	4
5028	5
5319	5
5579	4
2185	4
5906	4
5970	4
6275	4
6328	5
6343	6
6772	4
7412	4
1136	5
1143	7
699	4
55749	4
898	4
991	4
998	4
1365	5
780	4
1870	4
5603	4
4319	5
4313	5
4793	4
4908	5
5879	4
54101	4
3604	4
10318	4
79155	4
9948	4
4255	4
2729	5
9817	4
5578	4
5580	4
5587	5
57016	4
25842	4
2730	5
84803	5
3976	6
23657	5
8878	4
140809	4
23081	4
4353	5
11080	4
3310	4
3606	5
2950	4
354	5
3936	4
4477	5
1087	6
4283	5
1843	4
1910	5
2745	4
6117	4
6128	4
894	4
896	4
4535	4
468	4
572	4
8678	4
6347	5
1508	4
2919	5
2335	4
11009	5
3667	4
3717	4
57591	4
4312	5
4790	4
387	4
7040	4
5444	5
2936	4
3713	5
2952	5
6530	5
2876	5
2879	5
6916	5
128	4
5447	5
2569	5
19	5
9619	5
335	4
3952	5
2561	5
2566	5
3061	5
10327	4
8574	5
873	4
51635	4
9588	4
5770	4
8989	5
7345	4
3931	5
6667	4
22059	5
63874	5
2180	5
51129	4
901	5
57647	3
23710	4
3909	5
4739	4
29948	4
6520	4
11309	5
6653	4
25976	5
94241	5
5729	4
11251	5
1137	5
472	4
11200	4
2071	4
2073	5
2177	4
5888	4
8797	4
8795	4
3146	4
23643	5
7099	4
4314	5
4843	4
7913	4
1718	4
2100	4
3172	4
3487	5
27074	5
4899	4
7015	4
6783	4
43	5
9915	4
1583	5
2488	6
8648	4
10891	4
3251	4
7515	4
9568	5
3356	5
5617	4
1586	5
1066	5
330	4
1147	4
3551	4
9020	4
7185	4
3294	5
9061	4
6817	4
27284	5
6819	5
6822	5
9429	5
150209	4
84364	4
55252	5
718	5
24146	5
26528	4
1877	4
121506	4
80233	4
474344	5
84264	5
8346	5
50618	4
182	4
29967	4
80022	4
348938	6
8204	4
5241	4
5253	5
10723	5
201305	5
6799	5
6818	5
56063	5
54657	6
54578	5
63925	4
130399	5
238	4
2065	4
3815	4
5159	4
1588	5
3135	5
3284	4
7270	5
7276	4
8647	4
729230	6
1457	4
3558	5
4233	4
3084	4
5567	4
6906	5
6598	4
7324	3
3292	5
3283	5
10599	5
213	4
336	5
9370	5
857	4
858	5
8788	4
2167	5
3295	5
3791	5
4023	5
4868	4
5295	4
5625	4
5915	4
6387	4
7852	4
3290	4
3291	5
3293	5
11098	4
7031	4
8839	5
27113	5
5366	5
7161	4
970	4
2246	5
9131	4
952	5
1000	5
1499	4
1551	6
83939	4
3684	5
4288	5
8431	4
5175	4
63970	5
7465	4
327	4
590	4
10908	4
1027	4
5465	4
4762	5
8840	6
124	5
9973	5
1585	10000
7252	5
405	4
2033	4
8202	4
7068	4
5138	4
54905	5
6524	5
1434	4
9971	4
6324	6
6327	4
545	4
890	4
240	4
8086	4
23	5
83451	5
39	4
57007	5
122970	5
97	5
120	3
27125	4
155465	5
11214	5
79053	4
9949	4
54443	4
196527	4
81611	4
304	5
8416	5
8907	4
9582	5
57221	5
26084	5
403	4
170302	5
259266	4
29028	4
22809	3
91419	4
27032	5
8992	5
546	4
6790	4
84002	5
25825	4
580	4
84707	4
332	5
29760	4
655	4
221927	4
675	4
54014	5
682	4
701	4
55732	4
375444	4
55071	4
23705	5
813	4
55450	5
831	4
868	4
91057	5
9133	4
899	5
1604	5
966	4
995	4
8317	5
83461	4
113130	4
55143	4
10263	5
1030	4
1033	5
81620	4
1952	4
1063	5
2491	5
55839	5
55166	5
79682	4
55165	4
9702	4
64793	4
10036	4
1106	5
10370	5
51192	5
1164	4
9076	5
6249	4
1191	4
1407	4
10675	5
51496	4
9646	4
55917	5
51706	4
10926	5
90379	5
8816	5
9937	4
23564	5
7919	4
1719	5
10202	4
81624	4
1736	4
1746	4
10294	4
23234	4
1777	5
1786	4
79075	5
79980	4
51143	4
1875	5
79733	5
1894	4
8726	4
2202	4
1942	4
2002	4
79071	6
54859	4
146956	4
23052	4
57669	4
58513	4
112479	5
54206	4
9156	4
2131	4
2146	4
2150	5
90362	4
317662	5
56204	4
131583	5
55215	4
81545	4
9214	5
2237	4
9158	5
2288	4
23048	4
2309	4
122786	4
79443	5
9908	4
1647	4
2588	4
55568	4
23193	4
2624	4
2644	5
79153	5
2674	5
8836	4
51659	4
64785	5
2733	4
8833	4
2801	4
8733	5
9052	5
29899	5
57655	4
57822	5
51512	4
94239	4
3015	4
3021	4
115106	4
50865	5
85441	5
3280	4
3006	4
3012	4
3017	5
8345	5
8357	5
8349	4
55355	4
9324	5
3187	4
22824	4
3382	5
23463	4
3423	5
51278	5
3433	5
55764	4
112752	4
10994	3
3625	5
3638	4
124152	5
3664	5
8660	4
3673	5
23421	5
23030	4
10765	4
9764	5
57482	4
3832	4
81930	4
11004	4
3833	4
1316	5
116138	4
51088	5
90417	4
3840	4
3897	5
8270	4
9836	4
3953	4
3978	5
4001	4
26018	4
57819	4
378938	5
9448	5
84930	5
4150	4
4162	4
55388	4
4172	4
4174	4
4176	4
55013	5
4201	4
4205	4
